User,Year,Make,Model,MPG
Lightning44,2009,Kawasaki,KLE,49.2
LindaNJ01,2018,Toyota,RAV4,32.8
Lis,1993,Yamaha,XTZ,36.3
littleton325xi,2014,BMW,328i,50.2
Lizardual,2019,Lexus,ES300h,44.2
ljanuary,2016,Mazda,CX-5,27.7
lmg531,2012,Toyota,Tacoma,16.4
lokas,2014,BMW,420i,29.2
Lorenzo-Renegade,2016,Jeep,Renegade,10
LowSpeedEndos,2014,Subaru,Forester,23.7
lrm1977,2014,Ford,Focus,26.2
lskeddie,2016,Produa,Bezza,33.3
lsommers,2019,Ram,1500,12.3
ltrichardson,2017,Ford,Focus,22.6
lyndonws,2017,Toyota,Prius,67.5
M40blue,2018,BMW,X3,28.1
M4rk,2014,Lexus,IS,19.1
Maadcow,2017,Mazda,3,27
mach1neshop,2018,Toyota,Corolla,27
MadManMoon,2007,Ford,Mustang,16.2
maineford,2012,Ford,Escape,19.8
malibuwagon,2013,Ford,C-Max,39.5
MandM,2017,Ford,Explorer,17
mannys9130,2012,Toyota,Corolla,33.6
MansfieldJr,2012,Subaru,Impreza,26.6
manuferga,2006,Toyota,RAV4,25
Markj442,2017,Audi,A4,51.3
marriedman,2008,Honda,Ridgeline,14.4
martidiehl,2013,Honda,CR-V,25.2
martin678,2019,Nissan,Pathfinder,14.8
matt16l,2013,Dodge,Dart,26.9
matt-arsenault,2017,Subaru,Crosstrek,22.1
mattb5150,2018,GMC,Sierra,14.6
Mattg529,2007,Dodge,Ram,14.6
mattmacc,2018,Kia,Forte,29.7
mattnibbelink,2018,Ford,Escape,21.7
maximthi,2019,Toyota,Tundra,12.6
maxwex,2006,Lexus,RX400h,21.1
MazdaTwo,2007,Toyota,Yaris,29.3
mbaee,2019,Chevrolet,Silverado,17
mbumpus11,2015,Toyota,4Runner,15.4
McAutos,2018,Tesla,3,3.6
McGrath,2017,Mazda,3,39.4
mcler002,2017,Ford,Fiesta,45.1
MCR,2018,Chevrolet,Colorado,20.2
MCR,2013,Chevrolet,Sonic,33.9
mdebreyne,2006,Toyota,Sienna,16.8
Mekhet,2016,Yamaha,XSR,55.5
meknc,2014,BMW,X5,29.7
mercury52,2018,Honda,CR-V,33.7
meusel,2008,Chrysler,Town,16.3
mfberman,2008,Smart,Fortwo,44
mgboyle,2014,BMW,750Li,13.3
mgorven,2018,Honda,CR-V,20.1
michaelahess,2006,Dodge,Ram,14.2
mickim,2001,Toyota,RAV4,15.7
MICP2385,2012,Toyota,Tacoma,18.5
MicsHauler,2019,Subaru,Ascent,15.8
mict450,2017,Toyota,Tacoma,18.5
Mike_e_p,2013,Honda,Civic,34.8
mileage4me,2011,Ford,E-350,15.2
mish92029,2019,BMW,G310GS,68.9
mistachoy,2005,Scion,tC,24.9
misterflegg,2010,Fiat,Panda,41.1
MiThewsey,1997,Fiat,Coupe,29
mjgg999,2012,Toyota,Tacoma,15.8
mjshultz,2014,Ram,1500,11.5
mkhouv,2016,Lexus,CT200h,47.5
mkshafiq,2009,Toyota,Yaris,27
mlgh224,2005,Volvo,V70,33.3
mnashelsky,2018,Alfa,Romeo,26.4
Moldmaker,2006,Acura,RSX,26.8
montypatel,2017,Ford,Explorer,18.4
Morganrayl,2008,Chevrolet,Aveo,30.4
MorrisseyJ,2013,Honda,Accord,26.3
Mospeada,2013,Chevrolet,Silverado,11.4
motojl,2014,Indian,Chieftain,44.8
MotoSkiier,2019,Chevrolet,Cruze,35
mpelley92,2003,Toyota,Matrix,27.1
Mpower0254,1985,BMW,535i,23.3
mquinn01,2015,Toyota,4Runner,17.7
mquinn01,2015,Toyota,4Runner,17.3
mracko,2010,Toyota,Tundra,16.3
mrjarrod,2005,Alfa,Romeo,25
mrJeem,2013,Ford,Edge,18.6
MrMopar,2018,Chevrolet,Cruze,39.7
mrowland507,2014,Ford,Focus,29
mshurst,2014,Subaru,XV,27.3
mstuckart,2002,Dodge,Ram,38.7
MSXHK,2015,Ducati,Scrambler,45.5
mtbrav4,2016,Toyota,Tacoma,22.3
MTodd,2014,Lincoln,MKS,11.1
mugczar,2012,Scion,iQ,32.4
mynamesleslie,2018,Chevrolet,Colorado,19.4
N2MPG,2012,Toyota,Prius,46.2
nakalak,2014,Chevrolet,Cruze,25
Namakan,2018,Volkswagen,GTI,35.2
Narnia534,2015,Toyota,Highlander,17.8
natek,2012,Porsche,Cayenne,17.4
navyr113,2018,Ford,F-150,21.7
nb0622,2008,Toyota,Highlander,16.2
NC245,2015,Honda,NC700X,60.7
NC245,2015,Honda,NC700X,68.6
ne0031,2005,Subaru,Legacy,21.6
neilecruze,2017,Ram,1500,23.9
Newkirk,2017,Volkswagen,Golf,30.9
nhawk,2012,Audi,S4,16.8
Nicky777,2019,Kia,CERATO,26
nickyoobatz,2011,Ford,Mustang,16.9
Nighthawk,1977,Mercedes-Benz,300D,26
nikolap1,2014,Infiniti,Q50,24.5
NinjaNateFL,2013,Kawasaki,EX300,62.2
njcress,2014,GMC,Acadia,17.4
nkdfun,2007,Jeep,Wrangler,16.2
Nodge,2006,Vauxhall,Zafira,27.3
Nomad32,2015,Volkswagen,Touareg,22.4
-NooM-,2018,Ford,Focus,18.7
notflyingscot,2012,Skoda,Superb,21.9
NsWelsh,2016,Ford,Fiesta,51.9
nszceta,2017,Toyota,Corolla,35.3
ntron1,2018,Subaru,WRX,18.5
Nukes25,2016,Ram,1500,22
nxtiak,2017,Mazda,MX-5,26.7
oftech,2019,Honda,Passport,20.8
OilManSam,2014,Toyota,Tundra,12.7
